file,id,status,is_cah_kat,answerable,correct_option_count,reason,curriculum
questions/000c6a67-14b7-4045-82cb-6d0fcf875ac7.json,000c6a67-14b7-4045-82cb-6d0fcf875ac7,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/000e3c6a-4073-5aab-b2ea-dc51f7c67dda.json,000e3c6a-4073-5aab-b2ea-dc51f7c67dda,published,false,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/002836d9-933d-4abc-b1fa-cb29392d6d1e.json,002836d9-933d-4abc-b1fa-cb29392d6d1e,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/002c6898-ef1c-50d1-94a9-ee5c2766e015.json,002c6898-ef1c-50d1-94a9-ee5c2766e015,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/0042655d-4b73-483a-a517-2f466e69a325.json,0042655d-4b73-483a-a517-2f466e69a325,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/00474efb-012d-51ab-825c-03a7c4a1f85c.json,00474efb-012d-51ab-825c-03a7c4a1f85c,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/00502547-fcba-4c75-9dca-6ad2ddc94d72.json,00502547-fcba-4c75-9dca-6ad2ddc94d72,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/006dd8de-11a8-4ce9-a749-97ae18d1fcf4.json,006dd8de-11a8-4ce9-a749-97ae18d1fcf4,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/008850d2-cf00-5af3-94f2-52ce2a5bf62c.json,008850d2-cf00-5af3-94f2-52ce2a5bf62c,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/00b1feaa-cded-50ff-b3f6-2a3785d9cce3.json,00b1feaa-cded-50ff-b3f6-2a3785d9cce3,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/00e28ad6-ef7c-5c0c-865b-f2dfe835eb7f.json,00e28ad6-ef7c-5c0c-865b-f2dfe835eb7f,published,false,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/01143431-c86b-4f22-a42b-8bd33c99c231.json,01143431-c86b-4f22-a42b-8bd33c99c231,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/012290cf-ffdb-4d5e-9243-ad797224a6fb.json,012290cf-ffdb-4d5e-9243-ad797224a6fb,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/0179c444-f7c0-40cc-a77d-aef0013c5daf.json,0179c444-f7c0-40cc-a77d-aef0013c5daf,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/0194fe90-c8be-4d07-ba60-b048a19dd69f.json,0194fe90-c8be-4d07-ba60-b048a19dd69f,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/01966d29-333c-452d-92cb-9d2246e470fc.json,01966d29-333c-452d-92cb-9d2246e470fc,published,false,true,1,Answerable (exactly one correct option),Unclassified
questions/0197b071-a452-4b69-8731-6141664bccba.json,0197b071-a452-4b69-8731-6141664bccba,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/01a571cf-651a-4003-a32f-9110260767b6.json,01a571cf-651a-4003-a32f-9110260767b6,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/01bc8be6-13bd-5283-b2de-a814ab9d1951.json,01bc8be6-13bd-5283-b2de-a814ab9d1951,published,false,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/01bf6f5b-83ca-59c6-89e0-cbece71ee8b5.json,01bf6f5b-83ca-59c6-89e0-cbece71ee8b5,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/01d58ab6-9e17-4290-a90f-a2c2277b3c10.json,01d58ab6-9e17-4290-a90f-a2c2277b3c10,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/022a7e09-bd71-41ff-8354-b646993aeba1.json,022a7e09-bd71-41ff-8354-b646993aeba1,published,true,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/022ab903-5e19-4f32-bf0c-3cfb7f829d4c.json,022ab903-5e19-4f32-bf0c-3cfb7f829d4c,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/0246b3d3-79d7-57ef-80e2-92c7ac6ff8a9.json,0246b3d3-79d7-57ef-80e2-92c7ac6ff8a9,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/025a99f4-5a36-49e3-8cb5-9e3be0558713.json,025a99f4-5a36-49e3-8cb5-9e3be0558713,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/025c1e1c-ea53-4597-a3ea-da7dedc7e334.json,025c1e1c-ea53-4597-a3ea-da7dedc7e334,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/027128a9-85e6-4953-9ddb-66fd11bc5e43.json,027128a9-85e6-4953-9ddb-66fd11bc5e43,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/02791e78-3629-4587-9a59-5a940b03417c.json,02791e78-3629-4587-9a59-5a940b03417c,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/0287409f-ff05-42b5-a2c6-437c74fb599e.json,0287409f-ff05-42b5-a2c6-437c74fb599e,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/0289abd1-9de1-4625-b3ab-9a865d0f8f84.json,0289abd1-9de1-4625-b3ab-9a865d0f8f84,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/028d4cda-1f17-57e8-a95e-81df2db7bf54.json,028d4cda-1f17-57e8-a95e-81df2db7bf54,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/02903c27-b3e7-46e2-b66d-f0a5bda6cfa0.json,02903c27-b3e7-46e2-b66d-f0a5bda6cfa0,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/02a217d5-6d31-41e8-9817-761dcffa0a5e.json,02a217d5-6d31-41e8-9817-761dcffa0a5e,published,true,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/02a5bf09-ec76-403e-9d30-00e7d69f588f.json,02a5bf09-ec76-403e-9d30-00e7d69f588f,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/02b2b1db-2a66-4ade-8449-0d06c6e5866c.json,02b2b1db-2a66-4ade-8449-0d06c6e5866c,published,false,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/02c955a4-5461-5c67-bf95-666d78abeafd.json,02c955a4-5461-5c67-bf95-666d78abeafd,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/02dec00d-a42d-477a-9c4e-8015a270b289.json,02dec00d-a42d-477a-9c4e-8015a270b289,published,true,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/0314ee41-e795-5f20-80bb-dbd27ab48105.json,0314ee41-e795-5f20-80bb-dbd27ab48105,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/0321bea3-e1a9-4d11-a756-c838236f196a.json,0321bea3-e1a9-4d11-a756-c838236f196a,published,true,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/03364d35-fd01-4786-b876-7539985c56fa.json,03364d35-fd01-4786-b876-7539985c56fa,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/03522f51-075f-5247-9bb3-5b767f20df05.json,03522f51-075f-5247-9bb3-5b767f20df05,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/0381b515-73d5-47f5-94a6-f32cffc32bc7.json,0381b515-73d5-47f5-94a6-f32cffc32bc7,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/03ba972b-878b-4b40-9284-cb46131be5e9.json,03ba972b-878b-4b40-9284-cb46131be5e9,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/03c66510-8c1e-4a97-b8e4-d75ccb2c9d5b.json,03c66510-8c1e-4a97-b8e4-d75ccb2c9d5b,published,false,true,1,Answerable (exactly one correct option),General Paediatrics
questions/03c7dd9a-6454-538c-b887-97a0293559f9.json,03c7dd9a-6454-538c-b887-97a0293559f9,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/03de1de9-ac87-4bf1-82e0-4ea353aa1598.json,03de1de9-ac87-4bf1-82e0-4ea353aa1598,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/0409bfc5-80b7-554c-88d7-3e461d1f9875.json,0409bfc5-80b7-554c-88d7-3e461d1f9875,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/044eca37-014e-5fe2-b6d4-f7d79bef312c.json,044eca37-014e-5fe2-b6d4-f7d79bef312c,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/048e145f-8ed6-4206-9198-0afc1f991d64.json,048e145f-8ed6-4206-9198-0afc1f991d64,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/0490df25-ce67-4fbe-832e-0374a4e1c9af.json,0490df25-ce67-4fbe-832e-0374a4e1c9af,published,true,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/049674cf-e4a8-4d50-a2fe-bc9951b23bc5.json,049674cf-e4a8-4d50-a2fe-bc9951b23bc5,published,true,true,1,Answerable (exactly one correct option),General Paediatrics
questions/04967d72-3227-592c-b1f6-854cf7a7b582.json,04967d72-3227-592c-b1f6-854cf7a7b582,published,false,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/04a571ac-d323-46bd-a8ed-eb8ff77893d6.json,04a571ac-d323-46bd-a8ed-eb8ff77893d6,published,true,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/04d1c327-28ca-4f57-b024-b7bb0bbe1771.json,04d1c327-28ca-4f57-b024-b7bb0bbe1771,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/04ecfc18-846d-428d-8fe1-5b3064fbbece.json,04ecfc18-846d-428d-8fe1-5b3064fbbece,published,true,true,1,Answerable (exactly one correct option),Paediatric Surgery
questions/04f9e5f8-c7d7-41ea-98d3-b5924f0fdf6f.json,04f9e5f8-c7d7-41ea-98d3-b5924f0fdf6f,published,false,true,1,Answerable (exactly one correct option),Adolescent Medicine
questions/050282e3-3b40-40b5-ba38-5a89cf4e74e8.json,050282e3-3b40-40b5-ba38-5a89cf4e74e8,published,true,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/051f3172-a63b-48ee-99e2-a2656a3ca618.json,051f3172-a63b-48ee-99e2-a2656a3ca618,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/052b6889-20e3-486e-a119-999419f364a8.json,052b6889-20e3-486e-a119-999419f364a8,published,false,true,1,Answerable (exactly one correct option),Paediatric Sub-specialties
questions/05437216-ac00-4c1d-ba40-abfadcb59538.json,05437216-ac00-4c1d-ba40-abfadcb59538,published,false,true,1,Answerable (exactly one correct option),Unclassified
questions/0544831e-c005-4e4f-a786-2c9ef56ad4e2.json,0544831e-c005-4e4f-a786-2c9ef56ad4e2,published,true,true,1,Answerable (exactly one correct option),Emergency Paediatrics
questions/055667de-5277-5e2a-8f74-237fad454454.json,055667de-5277-5e2a-8f74-237fad454454,published,false,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/05589365-e0ea-4d87-a73d-9e64766cba51.json,05589365-e0ea-4d87-a73d-9e64766cba51,published,true,true,1,Answerable (exactly one correct option),Community-based Paediatrics
questions/056f5aeb-2048-4ea1-b7b4-b39571cfd4be.json,056f5aeb-2048-4ea1-b7b4-b39571cfd4be,published,false,true,1,Answerable (exactly one correct option),Paediatric Surgery
