file,id,status,is_cah_kat,answerable,correct_option_count,reason,curriculum
questions/0042655d-4b73-483a-a517-2f466e69a325.json,0042655d-4b73-483a-a517-2f466e69a325,published,false,false,0,No option has isCorrect=true,Unclassified
questions/0179c444-f7c0-40cc-a77d-aef0013c5daf.json,0179c444-f7c0-40cc-a77d-aef0013c5daf,published,true,false,0,No option has isCorrect=true,Emergency Paediatrics
questions/061327d1-857a-4fb8-9612-69b439a52270.json,061327d1-857a-4fb8-9612-69b439a52270,published,true,false,0,No option has isCorrect=true,Emergency Paediatrics
questions/06d5a720-9077-4628-aede-d194e8e00ca7.json,06d5a720-9077-4628-aede-d194e8e00ca7,published,false,false,0,No option has isCorrect=true,Unclassified
questions/06f69521-b37b-40a1-a63d-c04c3e571cc3.json,06f69521-b37b-40a1-a63d-c04c3e571cc3,published,false,false,0,No option has isCorrect=true,Unclassified
questions/0891d5aa-d2be-4528-a66e-2554ca479df3.json,0891d5aa-d2be-4528-a66e-2554ca479df3,published,false,false,0,No option has isCorrect=true,Unclassified
questions/0aff5d67-098c-431c-b61d-0deff775dc19.json,0aff5d67-098c-431c-b61d-0deff775dc19,published,false,false,0,No option has isCorrect=true,Unclassified
questions/0b153494-ed3d-45ad-bcdb-e5f1fe9db438.json,0b153494-ed3d-45ad-bcdb-e5f1fe9db438,published,false,false,0,No option has isCorrect=true,Unclassified
questions/0f16ede8-83e0-458f-911b-559131ea5aad.json,0f16ede8-83e0-458f-911b-559131ea5aad,published,true,false,0,No option has isCorrect=true,Paediatric Sub-specialties
questions/0f2013a6-9b77-491e-8570-b7da23d5343c.json,0f2013a6-9b77-491e-8570-b7da23d5343c,published,false,false,0,No option has isCorrect=true,Unclassified
questions/10db2a36-2108-4c78-9433-297e02825e10.json,10db2a36-2108-4c78-9433-297e02825e10,published,true,false,0,No option has isCorrect=true,Emergency Paediatrics
questions/1174c60b-0fd2-4bec-a124-fbef3c6312a1.json,1174c60b-0fd2-4bec-a124-fbef3c6312a1,published,false,false,0,No option has isCorrect=true,Unclassified
